DigitalOrderItemId,DeliveryPacketId,AffectedItemQuantity,TransactionAmount,BaseCurrencyCode,ClaimCode,FXTransactionAmount,FXCurrencyCode,MonetaryComponentTypeCode,OfferTypeCode
0GJDJT1NGMD4J2U3GPI0G689K6B6PJNQVLF7M1SUJT9NNFU3C21G,7UOB0AARE2OOOR632CGDAH38NB0NLBPRBF8KPPMLIDM052B09QU0,1,-1.4,USD,T038HCCDTPDRE5A1,Not Applicable,Not Applicable,Price Amount,Coupon
0GJDJT1NGMD4J2U3GPI0G689K6B6PJNQVLF7M1SUJT9NNFU3C21G,7UOB0AARE2OOOR632CGDAH38NB0NLBPRBF8KPPMLIDM052B09QU0,1,0.0,USD,T038HCCDTPDRE5A1,Not Applicable,Not Applicable,Tax,Coupon
0GJDJT1NGMD4J2U3GPI0G689K6B6PJNQVLF7M1SUJT9NNFU3C21G,7UOB0AARE2OOOR632CGDAH38NB0NLBPRBF8KPPMLIDM052B09QU0,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
0GJDJT1NGMD4J2U3GPI0G689K6B6PJNQVLF7M1SUJT9NNFU3C21G,7UOB0AARE2OOOR632CGDAH38NB0NLBPRBF8KPPMLIDM052B09QU0,1,9.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
1DU77K21LENV38ABI7JLMAAOIN92QBTD18M89BMABIAG2PL8ONSG,5CM6EG658A55V7B8L8G6H3FQ7DOONER9F5R6A6SKMK5R9KA4VAV0,1,16.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
1DU77K21LENV38ABI7JLMAAOIN92QBTD18M89BMABIAG2PL8ONSG,5CM6EG658A55V7B8L8G6H3FQ7DOONER9F5R6A6SKMK5R9KA4VAV0,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
JU6EGFC3U29RFT1BPK5MC1CGVCMJ56GA5MCD9381H4OKJKGVN36G,O6V5PD8FSLUR607I818N6T2MV53H6BPK2UJE7POMUH27NQG8J7H0,1,0.0,USD,T0TA95Y40UVBT4A8,Not Applicable,Not Applicable,Tax,Coupon
JU6EGFC3U29RFT1BPK5MC1CGVCMJ56GA5MCD9381H4OKJKGVN36G,O6V5PD8FSLUR607I818N6T2MV53H6BPK2UJE7POMUH27NQG8J7H0,1,-1.0,USD,T0TA95Y40UVBT4A8,Not Applicable,Not Applicable,Price Amount,Coupon
JU6EGFC3U29RFT1BPK5MC1CGVCMJ56GA5MCD9381H4OKJKGVN36G,O6V5PD8FSLUR607I818N6T2MV53H6BPK2UJE7POMUH27NQG8J7H0,1,13.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
JU6EGFC3U29RFT1BPK5MC1CGVCMJ56GA5MCD9381H4OKJKGVN36G,O6V5PD8FSLUR607I818N6T2MV53H6BPK2UJE7POMUH27NQG8J7H0,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
RSV8655EPBDK0H9H5TV29O27QU8EKPC29AH3F7RMB1S8IJQ46J10,COSVP7MD1648MEA205JHQEVUS98LMDJDOBHB5OAOE3C02Q6LLJEG,1,14.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
RSV8655EPBDK0H9H5TV29O27QU8EKPC29AH3F7RMB1S8IJQ46J10,COSVP7MD1648MEA205JHQEVUS98LMDJDOBHB5OAOE3C02Q6LLJEG,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
V7DTSIGNVB93AK0311CJMLE1FVBK7P5CHCQETD033JDCK0VPEAO0,PH6IKPDQUVJCAUB5TT5UUNQRQ8BB8AVTPVVUISPTAM5OP5RM3HS0,1,9.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
V7DTSIGNVB93AK0311CJMLE1FVBK7P5CHCQETD033JDCK0VPEAO0,PH6IKPDQUVJCAUB5TT5UUNQRQ8BB8AVTPVVUISPTAM5OP5RM3HS0,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
12BGLUFUCQF5NFLV1E18O8K3SA6748S6SD48H55CJ7CMON1A6GPG,NI7A1O56H0JFB5JPSH6G51BJH4KDO6PN6S1OAVDK9SN0L91AB670,1,7.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
12BGLUFUCQF5NFLV1E18O8K3SA6748S6SD48H55CJ7CMON1A6GPG,NI7A1O56H0JFB5JPSH6G51BJH4KDO6PN6S1OAVDK9SN0L91AB670,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
DMON6OL4TCHKBAS61NF4S77R4T88JRI66SJ11S9KIPMJ2EA7HI6G,8CI1DHB4GM6RL0PC0PIVDO1DUEVISKGMJQATQVH1BS7QDADUB6CG,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
DMON6OL4TCHKBAS61NF4S77R4T88JRI66SJ11S9KIPMJ2EA7HI6G,8CI1DHB4GM6RL0PC0PIVDO1DUEVISKGMJQATQVH1BS7QDADUB6CG,1,12.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
IF9OGCLJRRKU7QEME6O14IPGL8DR9QAUCF7MSDSK7HELUDJ9QKI0,E5594O7F31PIRDDK451HM7NRDPGPDANU3DVF9APQLNMGCMGJ7AC0,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
IF9OGCLJRRKU7QEME6O14IPGL8DR9QAUCF7MSDSK7HELUDJ9QKI0,E5594O7F31PIRDDK451HM7NRDPGPDANU3DVF9APQLNMGCMGJ7AC0,1,28.0,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
STMDHIBCFL08CC49VIE37JG54CE4GAS5K7SEN3NUH95ANA145KQG,0U62VJ9VC7PDC86ON12K4F6193DKJVCOK7HVOTPIDS11GCUNNRK0,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
STMDHIBCFL08CC49VIE37JG54CE4GAS5K7SEN3NUH95ANA145KQG,0U62VJ9VC7PDC86ON12K4F6193DKJVCOK7HVOTPIDS11GCUNNRK0,1,13.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
STMDHIBCFL08CC49VIE37JG54CE4GAS5K7SEN3NUH95ANA145KQG,0U62VJ9VC7PDC86ON12K4F6193DKJVCOK7HVOTPIDS11GCUNNRK0,1,0.0,USD,T02XLGG1671J2BAC,Not Applicable,Not Applicable,Tax,Coupon
STMDHIBCFL08CC49VIE37JG54CE4GAS5K7SEN3NUH95ANA145KQG,0U62VJ9VC7PDC86ON12K4F6193DKJVCOK7HVOTPIDS11GCUNNRK0,1,-1.2,USD,T02XLGG1671J2BAC,Not Applicable,Not Applicable,Price Amount,Coupon
E4I3NSQ73BK5F1ETUSC3JPSQ1H6LF3FLI6LK0KU4164MSGJ3ABA0,CRTED89JLAVGRM0TVM7U0CR7AM6I8ULTNFSUL9LCAROK04TCUEBG,1,11.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
E4I3NSQ73BK5F1ETUSC3JPSQ1H6LF3FLI6LK0KU4164MSGJ3ABA0,CRTED89JLAVGRM0TVM7U0CR7AM6I8ULTNFSUL9LCAROK04TCUEBG,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
E4I3NSQ73BK5F1ETUSC3JPSQ1H6LF3FLI6LK0KU4164MSGJ3ABA0,CRTED89JLAVGRM0TVM7U0CR7AM6I8ULTNFSUL9LCAROK04TCUEBG,1,0.0,USD,T0LMZ3P3TJMSW1A2,Not Applicable,Not Applicable,Tax,Coupon
E4I3NSQ73BK5F1ETUSC3JPSQ1H6LF3FLI6LK0KU4164MSGJ3ABA0,CRTED89JLAVGRM0TVM7U0CR7AM6I8ULTNFSUL9LCAROK04TCUEBG,1,-1.8,USD,T0LMZ3P3TJMSW1A2,Not Applicable,Not Applicable,Price Amount,Coupon
64UM1V3DCDU103N282F3K0JV3G9F16LUS2UMMRFAV8NDA9PKGOM0,HF6U8UMNS8IL56N6IGP2U8IVL30IDAF75SQFH0HR3E6FQA6O5TTG,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
64UM1V3DCDU103N282F3K0JV3G9F16LUS2UMMRFAV8NDA9PKGOM0,HF6U8UMNS8IL56N6IGP2U8IVL30IDAF75SQFH0HR3E6FQA6O5TTG,1,14.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
FDNPBSMBHQ9JET989CR2MFPPEO6RIKT60EA3LLN7CF9KEL2FDDG0,UFFUK55E096FHVAPPNSFPHSLAK44LMQTG8K8QDRBVR9HV83FJ34G,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
FDNPBSMBHQ9JET989CR2MFPPEO6RIKT60EA3LLN7CF9KEL2FDDG0,UFFUK55E096FHVAPPNSFPHSLAK44LMQTG8K8QDRBVR9HV83FJ34G,1,14.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
TCJ4KIP26LU5TLHG9T1P3VJVRKSQQIVCAH2ITR93SROAQ62MOHF0,39UCETT335VB4LJAOP7JB9VUM3BG7S8MT61U72NS3PNCTL1BFKD0,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
TCJ4KIP26LU5TLHG9T1P3VJVRKSQQIVCAH2ITR93SROAQ62MOHF0,39UCETT335VB4LJAOP7JB9VUM3BG7S8MT61U72NS3PNCTL1BFKD0,1,13.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
